일자,확진자수,후암동,용산2가동,남영동,청파동,원효로제1동,원효로제2동,효창동,용문동,한강로동,이촌제1동,이촌제2동,이태원제1동,이태원제2동,한남동,서빙고동,보광동,데이터 관리부서,데이터관리 부서 전화번호
2020-03-05,1,,,,,,,,,,,,,,,,1, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-06,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-07,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-08,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-09,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-10,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-11,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-12,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-13,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-14,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-15,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-16,1,,,,1,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-17,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-18,1,1,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-19,1,1,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-20,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-21,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-22,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-23,1,,,,,,,,,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-24,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-25,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-26,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-27,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-28,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-29,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-30,3,,,1,,,,,,2,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-03-31,1,,,,,,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-01,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-02,2,,,2,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-03,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-04,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-05,2,,,,,,1,,1,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-06,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-07,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-08,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-09,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-10,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-11,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-12,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-13,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-14,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-15,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-16,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-17,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-18,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-19,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-20,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-21,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-22,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-23,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-24,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-25,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-26,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-27,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-28,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-29,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-04-30,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-01,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-02,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-03,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-04,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-05,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-06,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-07,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-08,4,,,,,,,,,1,,,,3,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-09,4,,,,,,,,,1,,,,,,,3, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-10,3,1,,,,,,,1,,,,,1,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-11,1,,,,,,,,,,,,,,,,1, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-12,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-13,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-14,2,,,,,,,,,,,,,,,,2, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-15,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-16,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-17,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-18,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-19,4,,,,,,,,,,,,,,4,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-20,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-21,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-22,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-23,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-24,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-25,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-26,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-27,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-28,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-29,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-30,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-05-31,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-01,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-02,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-03,1,,,,,,,1,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-04,1,,,,,,,1,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-05,2,,,,,,1,1,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-06,2,,,,1,,,1,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-07,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-08,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-09,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-10,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-11,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-12,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-13,1,1,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-14,1,,,,,,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-15,2,,,,1,,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-16,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-17,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-18,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-19,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-20,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-21,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-22,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-23,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-24,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-25,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-26,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-27,1,,,,,,,,,,,,,,,1,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-28,1,,,,,1,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-29,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-06-30,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-01,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-02,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-03,1,,1,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-04,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-05,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-06,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-07,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-08,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-09,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-10,1,,,,1,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-11,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-12,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-13,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-14,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-15,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-16,1,,,,,,1,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-17,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-18,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-19,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-20,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-21,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-22,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-23,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-24,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-25,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-26,1,1,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-27,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-28,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-29,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-30,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-07-31,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-01,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-02,1,,,,1,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-03,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-04,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-05,2,,,,,,,,,,2,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-06,2,,,,,,,,,,,,2,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-07,1,,,,,,,,,,,,,,,1,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-08,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-09,1,,1,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-10,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-11,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-12,1,,,,,1,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-13,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-14,1,,,,,,,,,,,,,,,1,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-15,4,,,,1,1,,,,,,,,,2,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-16,3,,,,,2,,,,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-17,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-18,3,,,1,,1,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-19,1,,,,,,,,,,,,,,,,1, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-20,2,,,,,,,,,1,,,,,,,1, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-21,2,,,,,,,,,,1,,1,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-22,3,1,1,,,,,,,1,,1,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-23,5,,,1,,,1,,,2,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-24,1,,,,,,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-25,3,,1,1,,,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-26,3,1,,,1,,,,,1,,,,,1,1,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-27,4,,,,,,2,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-28,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-29,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-30,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-08-31,1,,,,,,,,,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-01,2,,,,,,,,1,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-02,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-03,2,,,,,,,,1,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-04,2,,,,,,,,,1,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-05,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-06,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-07,1,1,,,,,,,,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-08,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-09,1,,,,,,,,,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-10,1,,,,,,,,,,,,,1,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-11,1,1,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-12,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-13,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-14,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-15,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-16,2,,,,,,2,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-17,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-18,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-19,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-20,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-21,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-22,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-23,2,,,1,,,,,,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-24,1,,,,,,,,,,,,1,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-25,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-26,2,1,,,,,,,,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-27,2,,1,,,,,,,,1,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-28,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-29,2,,,,1,,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-09-30,1,,,,,1,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-01,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-02,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-03,1,,,1,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-04,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-05,1,,,,,1,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-06,1,,,,,,,,,,,,,,1,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-07,1,,,,,,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-08,0,,,,,,,,,,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-09,1,,,,,,,,,1,,,,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
2020-10-10,1,,,,,,,,,,,,1,,,,, 서울특별시 용산구청 보건의료과 ,02-2199-4406
